measure,location,sex,age,cause,rei,metric,year,val (lower to upper)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2001,2.50 (0.72 to 5.59)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2001,3.80 (1.55 to 7.06)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2002,2.62 (0.72 to 5.82)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2002,3.97 (1.60 to 7.31)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2003,2.99 (0.83 to 6.62)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2003,4.33 (1.79 to 7.88)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2004,3.17 (0.91 to 7.07)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2004,4.51 (1.81 to 8.19)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2005,3.21 (0.93 to 7.09)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2005,4.57 (1.80 to 8.42)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2006,3.01 (0.90 to 6.50)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2006,4.28 (1.70 to 7.83)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2007,3.03 (0.89 to 6.67)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2007,4.17 (1.67 to 7.68)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2008,3.10 (0.89 to 6.55)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2008,4.24 (1.61 to 8.00)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2009,3.24 (0.95 to 7.20)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2009,4.34 (1.64 to 8.27)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2010,3.33 (0.97 to 7.42)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2010,4.47 (1.72 to 8.70)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2011,3.34 (0.96 to 7.30)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2011,4.56 (1.77 to 8.73)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2012,3.31 (0.95 to 7.22)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2012,4.32 (1.62 to 8.37)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2013,3.35 (1.00 to 7.23)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2013,4.34 (1.63 to 8.24)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2014,3.28 (1.01 to 6.86)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2014,4.26 (1.63 to 7.89)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2015,3.22 (0.97 to 6.88)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2015,4.08 (1.56 to 7.70)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2016,3.18 (0.90 to 6.43)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2016,4.00 (1.43 to 7.71)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2017,3.14 (0.90 to 6.51)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2017,3.99 (1.49 to 7.67)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2018,3.10 (0.94 to 6.55)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2018,3.95 (1.45 to 7.40)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2019,3.11 (0.92 to 6.61)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2019,3.90 (1.39 to 7.68)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2020,3.14 (0.97 to 6.73)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2020,3.86 (1.45 to 7.44)
Deaths,China,Male,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2021,3.14 (0.99 to 6.75)
Deaths,China,Female,Age-standardized,Ischemic heart disease,Low physical activity,Rate,2021,3.82 (1.45 to 7.45)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1990,2.76 (-1.11 to 7.00)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1990,3.00 (-0.90 to 7.24)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1991,2.75 (-1.12 to 7.06)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1991,2.95 (-0.86 to 7.12)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1992,2.76 (-1.17 to 6.90)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1992,2.92 (-0.86 to 7.05)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1993,2.76 (-1.26 to 6.83)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1993,2.91 (-0.83 to 7.22)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1994,2.74 (-1.39 to 6.88)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1994,2.90 (-0.84 to 7.06)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1995,2.75 (-1.47 to 6.97)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1995,2.87 (-0.91 to 7.06)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1996,2.73 (-1.46 to 7.02)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1996,2.84 (-0.91 to 7.13)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1997,2.70 (-1.50 to 7.05)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1997,2.80 (-0.99 to 7.03)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1998,2.72 (-1.57 to 7.03)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1998,2.82 (-0.98 to 6.97)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,1999,2.74 (-1.66 to 7.28)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,1999,2.87 (-1.01 to 7.30)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2000,2.85 (-1.83 to 7.74)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2000,2.96 (-1.10 to 7.44)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2001,2.93 (-2.03 to 7.85)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2001,3.00 (-1.21 to 7.42)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2002,2.97 (-1.99 to 7.98)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2002,2.99 (-1.24 to 7.49)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2003,3.15 (-2.29 to 8.56)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2003,3.07 (-1.26 to 7.82)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2004,3.24 (-2.50 to 8.85)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2004,3.10 (-1.34 to 7.86)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2005,3.19 (-2.51 to 8.79)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2005,3.02 (-1.36 to 7.83)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2006,2.92 (-2.28 to 7.96)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2006,2.77 (-1.20 to 7.11)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2007,2.85 (-2.15 to 7.71)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2007,2.63 (-1.14 to 7.06)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2008,2.86 (-2.10 to 7.92)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2008,2.58 (-1.15 to 6.73)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2009,2.92 (-2.02 to 7.99)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2009,2.56 (-1.15 to 6.76)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2010,2.95 (-2.06 to 8.21)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2010,2.53 (-1.21 to 6.61)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2011,2.91 (-1.99 to 7.76)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2011,2.48 (-1.12 to 6.47)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2012,2.88 (-1.79 to 8.03)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2012,2.36 (-1.01 to 6.28)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2013,2.86 (-1.79 to 7.64)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2013,2.30 (-1.06 to 5.86)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2014,2.79 (-1.74 to 7.91)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2014,2.24 (-1.05 to 5.98)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2015,2.74 (-1.59 to 7.64)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2015,2.18 (-1.03 to 5.34)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2016,2.73 (-1.60 to 7.43)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2016,2.16 (-1.03 to 5.69)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2017,2.68 (-1.55 to 7.65)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2017,2.17 (-1.11 to 5.88)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2018,2.62 (-1.55 to 7.23)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2018,2.14 (-1.16 to 5.61)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2019,2.62 (-1.58 to 7.43)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2019,2.13 (-1.19 to 5.73)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2020,2.62 (-1.54 to 7.60)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2020,2.10 (-1.08 to 5.69)
Deaths,China,Male,Age-standardized,Stroke,Low physical activity,Rate,2021,2.62 (-1.49 to 7.80)
Deaths,China,Female,Age-standardized,Stroke,Low physical activity,Rate,2021,2.08 (-1.16 to 5.64)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1990,0.21 (0.06 to 0.41)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1990,0.14 (0.04 to 0.27)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1991,0.20 (0.06 to 0.40)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1991,0.13 (0.04 to 0.26)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1992,0.19 (0.06 to 0.36)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1992,0.12 (0.04 to 0.24)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1993,0.18 (0.05 to 0.34)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1993,0.11 (0.03 to 0.22)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1994,0.17 (0.05 to 0.32)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1994,0.10 (0.03 to 0.20)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1995,0.16 (0.05 to 0.30)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1995,0.09 (0.03 to 0.18)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1996,0.15 (0.04 to 0.27)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1996,0.09 (0.03 to 0.16)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1997,0.14 (0.04 to 0.25)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1997,0.08 (0.02 to 0.15)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1998,0.13 (0.04 to 0.25)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1998,0.07 (0.02 to 0.14)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,1999,0.12 (0.04 to 0.23)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,1999,0.07 (0.02 to 0.13)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2000,0.12 (0.04 to 0.24)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2000,0.07 (0.02 to 0.13)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2001,0.12 (0.03 to 0.23)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2001,0.06 (0.02 to 0.12)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2002,0.11 (0.03 to 0.22)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2002,0.06 (0.02 to 0.12)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2003,0.11 (0.03 to 0.22)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2003,0.06 (0.02 to 0.11)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2004,0.11 (0.03 to 0.22)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2004,0.06 (0.02 to 0.11)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2005,0.10 (0.03 to 0.20)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2005,0.05 (0.02 to 0.10)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2006,0.09 (0.03 to 0.17)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2006,0.04 (0.01 to 0.08)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2007,0.08 (0.02 to 0.15)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2007,0.03 (0.01 to 0.07)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2008,0.07 (0.02 to 0.14)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2008,0.03 (0.01 to 0.06)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2009,0.06 (0.02 to 0.12)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2009,0.03 (0.01 to 0.05)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2010,0.06 (0.02 to 0.11)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2010,0.03 (0.01 to 0.05)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2011,0.05 (0.02 to 0.10)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2011,0.02 (0.01 to 0.04)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2012,0.05 (0.01 to 0.09)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2012,0.02 (0.01 to 0.04)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2013,0.04 (0.01 to 0.08)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2013,0.02 (0.01 to 0.04)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2014,0.04 (0.01 to 0.08)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2014,0.02 (0.01 to 0.03)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2015,0.04 (0.01 to 0.08)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2015,0.02 (0.01 to 0.03)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2016,0.04 (0.01 to 0.07)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2016,0.02 (0.01 to 0.03)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2017,0.04 (0.01 to 0.07)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2017,0.02 (0.00 to 0.03)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2018,0.03 (0.01 to 0.07)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2018,0.01 (0.00 to 0.03)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2019,0.03 (0.01 to 0.06)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2019,0.01 (0.00 to 0.03)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2020,0.03 (0.01 to 0.06)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2020,0.01 (0.00 to 0.03)
Deaths,China,Male,Age-standardized,Tuberculosis,Low physical activity,Rate,2021,0.03 (0.01 to 0.06)
Deaths,China,Female,Age-standardized,Tuberculosis,Low physical activity,Rate,2021,0.01 (0.00 to 0.03)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1990,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1990,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1991,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1991,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1992,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1992,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1993,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1993,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1994,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1994,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1995,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1995,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1996,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1996,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1997,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1997,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1998,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1998,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1999,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,1999,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2000,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2000,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2001,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2001,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2002,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2002,0.00 (0.00 to 0.01)
